0xxx0xxxxxxxxxxxxxxxx 00000001 # IE=0 (during fetch)
0xxx10000011001101001 00000001 # xor sp, [memaddr+opd]
0xxx10000011100001001 00000001 # shr a, [memaddr+opd]
0xxx10000011100011001 00000001 # shr b, [memaddr+opd]
0xxx10000011100101001 00000001 # shr c, [memaddr+opd]
0xxx10000011100111001 00000001 # shr d, [memaddr+opd]
0xxx10000011101001001 00000001 # shr e, [memaddr+opd]
0xxx10000011101011001 00000001 # shr bp, [memaddr+opd]
0xxx10000011101101001 00000001 # shr sp, [memaddr+opd]
0xxx10000000010111111 00000001 # add memval,opd
0xxx10000010100001111 00000001 # not a
0xxx10000010100011111 00000001 # not b
0xxx10000010100101111 00000001 # not c
0xxx10000010100111111 00000001 # not d
0xxx10000010101001111 00000001 # not e
0xxx10000010101011111 00000001 # not bp
0xxx10000010101101111 00000001 # not sp
0xxx10000100000000000 00000001 # mov a, a
0xxx10000100000000001 00000001 # mov a, b
0xxx10000100000000010 00000001 # mov a, c
0xxx10000100000000011 00000001 # mov a, d
0xxx10000100000000100 00000001 # mov a, e
0xxx10000100000000101 00000001 # mov a, bp
0xxx10000100000000110 00000001 # mov a, sp
0xxx10000100000010000 00000001 # mov b, a
0xxx10000100000010001 00000001 # mov b, b
0xxx10000100000010010 00000001 # mov b, c
0xxx10000100000010011 00000001 # mov b, d
0xxx10000100000010100 00000001 # mov b, e
0xxx10000100000010101 00000001 # mov b, bp
0xxx10000100000010110 00000001 # mov b, sp
0xxx10000100000100000 00000001 # mov c, a
0xxx10000100000100001 00000001 # mov c, b
0xxx10000100000100010 00000001 # mov c, c
0xxx10000100000100011 00000001 # mov c, d
0xxx10000100000100100 00000001 # mov c, e
0xxx10000100000100101 00000001 # mov c, bp
0xxx10000100000100110 00000001 # mov c, sp
0xxx10000100000110000 00000001 # mov d, a
0xxx10000100000110001 00000001 # mov d, b
0xxx10000100000110010 00000001 # mov d, c
0xxx10000100000110011 00000001 # mov d, d
0xxx10000100000110100 00000001 # mov d, e
0xxx10000100000110101 00000001 # mov d, bp
0xxx10000100000110110 00000001 # mov d, sp
0xxx10000100001000000 00000001 # mov e, a
0xxx10000100001000001 00000001 # mov e, b
0xxx10000100001000010 00000001 # mov e, c
0xxx10000100001000011 00000001 # mov e, d
0xxx10000100001000100 00000001 # mov e, e
0xxx10000100001000101 00000001 # mov e, bp
0xxx10000100001000110 00000001 # mov e, sp
0xxx10000100001010000 00000001 # mov bp, a
0xxx10000100001010001 00000001 # mov bp, b
0xxx10000100001010010 00000001 # mov bp, c
0xxx10000100001010011 00000001 # mov bp, d
0xxx10000100001010100 00000001 # mov bp, e
0xxx10000100001010101 00000001 # mov bp, bp
0xxx10000100001010110 00000001 # mov bp, sp
0xxx10000100001100000 00000001 # mov sp, a
0xxx10000100001100001 00000001 # mov sp, b
0xxx10000100001100010 00000001 # mov sp, c
0xxx10000100001100011 00000001 # mov sp, d
0xxx10000100001100100 00000001 # mov sp, e
0xxx10000100001100101 00000001 # mov sp, bp
0xxx10000100001100110 00000001 # mov sp, sp
0xxx10000100000001001 00000001 # mov a, [memaddr+opd]
0xxx10000100000011001 00000001 # mov b, [memaddr+opd]
0xxx10000100000101001 00000001 # mov c, [memaddr+opd]
0xxx10000100000111001 00000001 # mov d, [memaddr+opd]
0xxx10000100001001001 00000001 # mov e, [memaddr+opd]
0xxx10000100001011001 00000001 # mov bp, [memaddr+opd]
