0xxx0xxxxxxxxxxxxxxxx 000000000000000001111000 1 # IE=0 (during fetch)
0xxx10000011100000001 000010000010011110000000 1 # shr a, b
0xxx10000011100000010 000010000010101110000000 1 # shr a, c
0xxx10000011100000011 000010000010111110000000 1 # shr a, d
0xxx10000011100000100 000010000011001110000000 1 # shr a, e
0xxx10000011100000101 000010000011011110000000 1 # shr a, bp
0xxx10000011100000110 000010000011101110000000 1 # shr a, sp
0xxx10000011100010000 000010000110001110001000 1 # shr b, a
0xxx10000011100010001 000010000110011110001000 1 # shr b, b
0xxx10000011100010010 000010000110101110001000 1 # shr b, c
0xxx10000011100010011 000010000110111110001000 1 # shr b, d
0xxx10000011100010100 000010000111001110001000 1 # shr b, e
0xxx10000011100010101 000010000111011110001000 1 # shr b, bp
0xxx10000011100010110 000010000111101110001000 1 # shr b, sp
0xxx10000011100100000 000010001010001110010000 1 # shr c, a
0xxx10000011100100001 000010001010011110010000 1 # shr c, b
0xxx10000011100100010 000010001010101110010000 1 # shr c, c
0xxx10000011100100011 000010001010111110010000 1 # shr c, d
0xxx10000011100100100 000010001011001110010000 1 # shr c, e
0xxx10000011100100101 000010001011011110010000 1 # shr c, bp
0xxx10000011100100110 000010001011101110010000 1 # shr c, sp
0xxx10000011100110000 000010001110001110011000 1 # shr d, a
0xxx10000011100110001 000010001110011110011000 1 # shr d, b
0xxx10000011100110010 000010001110101110011000 1 # shr d, c
0xxx10000011100110011 000010001110111110011000 1 # shr d, d
0xxx10000011100110100 000010001111001110011000 1 # shr d, e
0xxx10000011100110101 000010001111011110011000 1 # shr d, bp
0xxx10000011100110110 000010001111101110011000 1 # shr d, sp
0xxx10000011101000000 000010010010001110100000 1 # shr e, a
0xxx10000011101000001 000010010010011110100000 1 # shr e, b
0xxx10000011101000010 000010010010101110100000 1 # shr e, c
0xxx10000011101000011 000010010010111110100000 1 # shr e, d
0xxx10000011101000100 000010010011001110100000 1 # shr e, e
0xxx10000011101000101 000010010011011110100000 1 # shr e, bp
0xxx10000011101000110 000010010011101110100000 1 # shr e, sp
0xxx10000011101010000 000010010110001110101000 1 # shr bp, a
0xxx10000011101010001 000010010110011110101000 1 # shr bp, b
0xxx10000011101010010 000010010110101110101000 1 # shr bp, c
0xxx10000011101010011 000010010110111110101000 1 # shr bp, d
0xxx10000011101010100 000010010111001110101000 1 # shr bp, e
0xxx10000011101010101 000010010111011110101000 1 # shr bp, bp
0xxx10000011101010110 000010010111101110101000 1 # shr bp, sp
0xxx10000011101100000 000010011010001110110000 1 # shr sp, a
0xxx10000011101100001 000010011010011110110000 1 # shr sp, b
0xxx10000011101100010 000010011010101110110000 1 # shr sp, c
0xxx10000011101100011 000010011010111110110000 1 # shr sp, d
0xxx10000011101100100 000010011011001110110000 1 # shr sp, e
0xxx10000011101100101 000010011011011110110000 1 # shr sp, bp
0xxx10000011101100110 000010011011101110110000 1 # shr sp, sp
0xxx10000000000001111 000010000011110000000000 1 # add a, opd
0xxx10000000000011111 000010000111110000001000 1 # add b, opd
0xxx10000000000101111 000010001011110000010000 1 # add c, opd
0xxx10000000000111111 000010001111110000011000 1 # add d, opd
0xxx10000000001001111 000010010011110000100000 1 # add e, opd
0xxx10000000001011111 000010010111110000101000 1 # add bp, opd
0xxx10000000001101111 000010011011110000110000 1 # add sp, opd
0xxx10000000100001111 000010000011110010000000 1 # sub a, opd
0xxx10000000100011111 000010000111110010001000 1 # sub b, opd
0xxx10000000100101111 000010001011110010010000 1 # sub c, opd
0xxx10000000100111111 000010001111110010011000 1 # sub d, opd
0xxx10000000101001111 000010010011110010100000 1 # sub e, opd
0xxx10000000101011111 000010010111110010101000 1 # sub bp, opd
0xxx10000000101101111 000010011011110010110000 1 # sub sp, opd
0xxx10000001000001111 000010000011110100000000 1 # mul a, opd
0xxx10000001000011111 000010000111110100001000 1 # mul b, opd
0xxx10000001000101111 000010001011110100010000 1 # mul c, opd
0xxx10000001000111111 000010001111110100011000 1 # mul d, opd
0xxx10000001001001111 000010010011110100100000 1 # mul e, opd
0xxx10000001001011111 000010010111110100101000 1 # mul bp, opd
0xxx10000001001101111 000010011011110100110000 1 # mul sp, opd
0xxx10000001100001111 000010000011110110000000 1 # and a, opd
0xxx10000001100011111 000010000111110110001000 1 # and b, opd
0xxx10000001100101111 000010001011110110010000 1 # and c, opd
0xxx10000001100111111 000010001111110110011000 1 # and d, opd
0xxx10000001101001111 000010010011110110100000 1 # and e, opd
0xxx10000001101011111 000010010111110110101000 1 # and bp, opd
0xxx10000001101101111 000010011011110110110000 1 # and sp, opd
0xxx10000010000001111 000010000011111000000000 1 # or a, opd
0xxx10000010000011111 000010000111111000001000 1 # or b, opd
0xxx10000010000101111 000010001011111000010000 1 # or c, opd
0xxx10000010000111111 000010001111111000011000 1 # or d, opd
0xxx10000010001001111 000010010011111000100000 1 # or e, opd
0xxx10000010001011111 000010010111111000101000 1 # or bp, opd
0xxx10000010001101111 000010011011111000110000 1 # or sp, opd
0xxx10000011000001111 000010000011111100000000 1 # xor a, opd
0xxx10000011000011111 000010000111111100001000 1 # xor b, opd
0xxx10000011000101111 000010001011111100010000 1 # xor c, opd
0xxx10000011000111111 000010001111111100011000 1 # xor d, opd
0xxx10000011001001111 000010010011111100100000 1 # xor e, opd
0xxx10000011001011111 000010010111111100101000 1 # xor bp, opd
0xxx10000011001101111 000010011011111100110000 1 # xor sp, opd
0xxx10000011100001111 000010000011111110000000 1 # shr a, opd
0xxx10000011100011111 000010000111111110001000 1 # shr b, opd
0xxx10000011100101111 000010001011111110010000 1 # shr c, opd
0xxx10000011100111111 000010001111111110011000 1 # shr d, opd
0xxx10000011101001111 000010010011111110100000 1 # shr e, opd
0xxx10000011101011111 000010010111111110101000 1 # shr bp, opd
0xxx10000011101101111 000010011011111110110000 1 # shr sp, opd
0xxx10000000000001001 000010100110000000000010 1 # add a, [memaddr+opd]
0xxx10000000000011001 000010100110010000001010 1 # add b, [memaddr+opd]
0xxx10000000000101001 000010100110100000010010 1 # add c, [memaddr+opd]
0xxx10000000000111001 000010100110110000011010 1 # add d, [memaddr+opd]
0xxx10000000001001001 000010100111000000100010 1 # add e, [memaddr+opd]
0xxx10000000001011001 000010100111010000101010 1 # add bp, [memaddr+opd]
0xxx10000000001101001 000010100111100000110010 1 # add sp, [memaddr+opd]
0xxx10000000100001001 000010100110000010000010 1 # sub a, [memaddr+opd]
0xxx10000000100011001 000010100110010010001010 1 # sub b, [memaddr+opd]
0xxx10000000100101001 000010100110100010010010 1 # sub c, [memaddr+opd]
0xxx10000000100111001 000010100110110010011010 1 # sub d, [memaddr+opd]
0xxx10000000101001001 000010100111000010100010 1 # sub e, [memaddr+opd]
0xxx10000000101011001 000010100111010010101010 1 # sub bp, [memaddr+opd]
0xxx10000000101101001 000010100111100010110010 1 # sub sp, [memaddr+opd]
0xxx10000001000001001 000010100110000100000010 1 # mul a, [memaddr+opd]
0xxx10000001000011001 000010100110010100001010 1 # mul b, [memaddr+opd]
0xxx10000001000101001 000010100110100100010010 1 # mul c, [memaddr+opd]
0xxx10000001000111001 000010100110110100011010 1 # mul d, [memaddr+opd]
0xxx10000001001001001 000010100111000100100010 1 # mul e, [memaddr+opd]
0xxx10000001001011001 000010100111010100101010 1 # mul bp, [memaddr+opd]
0xxx10000001001101001 000010100111100100110010 1 # mul sp, [memaddr+opd]
0xxx10000001100001001 000010100110000110000010 1 # and a, [memaddr+opd]
0xxx10000001100011001 000010100110010110001010 1 # and b, [memaddr+opd]
0xxx10000001100101001 000010100110100110010010 1 # and c, [memaddr+opd]
0xxx10000001100111001 000010100110110110011010 1 # and d, [memaddr+opd]
0xxx10000001101001001 000010100111000110100010 1 # and e, [memaddr+opd]
0xxx10000001101011001 000010100111010110101010 1 # and bp, [memaddr+opd]
0xxx10000001101101001 000010100111100110110010 1 # and sp, [memaddr+opd]
0xxx10000010000001001 000010100110001000000010 1 # or a, [memaddr+opd]
0xxx10000010000011001 000010100110011000001010 1 # or b, [memaddr+opd]
0xxx10000010000101001 000010100110101000010010 1 # or c, [memaddr+opd]
0xxx10000010000111001 000010100110111000011010 1 # or d, [memaddr+opd]
0xxx10000010001001001 000010100111001000100010 1 # or e, [memaddr+opd]
0xxx10000010001011001 000010100111011000101010 1 # or bp, [memaddr+opd]
0xxx10000010001101001 000010100111101000110010 1 # or sp, [memaddr+opd]
0xxx10000011000001001 000010100110001100000010 1 # xor a, [memaddr+opd]
0xxx10000011000011001 000010100110011100001010 1 # xor b, [memaddr+opd]
